path,category,width,height,aspect_ratio,megapixels,file_size_kb,brightness,contrast,sharpness,colorfulness,source
C:\Users\Vasisht\Desktop\DATA612_PROJECT\data\degraded\jewelry\71uexHIZNdL_v0.jpg,jewelry,512,512,1.0,0.262144,10.970703125,153.4212760925293,32.00017734566192,16.00397424813127,1.2779641151428223,degraded
C:\Users\Vasisht\Desktop\DATA612_PROJECT\data\degraded\apparel\81OTxycsMbL_v0.jpg,apparel,512,512,1.0,0.262144,28.4482421875,82.81327056884766,62.770522195569654,7.180365862092003,5.857750415802002,degraded
C:\Users\Vasisht\Desktop\DATA612_PROJECT\data\degraded\apparel\710izm6G7OL_v0.jpg,apparel,512,512,1.0,0.262144,153.5732421875,158.1715545654297,61.57913540458011,17202.141602018823,46.06475067138672,degraded
C:\Users\Vasisht\Desktop\DATA612_PROJECT\data\degraded\electronics\81OLM2NJlGL_v0.jpg,electronics,512,512,1.0,0.262144,19.9736328125,131.4719123840332,59.35370728631679,19.71666696574539,36.40900802612305,degraded
C:\Users\Vasisht\Desktop\DATA612_PROJECT\data\degraded\electronics\71wzSkjSiOL_v0.jpg,electronics,512,512,1.0,0.262144,15.654296875,202.87177658081055,60.315082554881606,98.11554718017578,14.586553573608398,degraded
C:\Users\Vasisht\Desktop\DATA612_PROJECT\data\degraded\electronics\71NSfRFWSSL_v0.jpg,electronics,512,512,1.0,0.262144,23.13671875,119.52256393432617,50.75469695410031,17.50528968415165,53.7873649597168,degraded
C:\Users\Vasisht\Desktop\DATA612_PROJECT\data\degraded\apparel\91RxqDLxoWL_v0.jpg,apparel,512,512,1.0,0.262144,124.1396484375,157.42656326293945,45.98970025352341,18150.634479313365,33.88587188720703,degraded
C:\Users\Vasisht\Desktop\DATA612_PROJECT\data\degraded\apparel\81JNm30C07L_v0.jpg,apparel,512,512,1.0,0.262144,43.6533203125,177.67249298095703,40.19458145766385,40.82020186317095,24.72187042236328,degraded
C:\Users\Vasisht\Desktop\DATA612_PROJECT\data\degraded\kitchen\81w6X1n93-L_v0.jpg,kitchen,512,512,1.0,0.262144,18.279296875,122.30663681030273,79.19256408476086,9.322104379476514,2.012112617492676,degraded
C:\Users\Vasisht\Desktop\DATA612_PROJECT\data\degraded\home_decor\91nEPiN8uWL_v0.jpg,home_decor,512,512,1.0,0.262144,15.3291015625,98.37894821166992,42.33925877536308,28.405406602294534,14.341462135314941,degraded
